trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2052F198219:2021-02-19T18:51:30Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F198219:2021-02-19T18:51:30Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2052F224808:2021-02-20T18:50:55Z,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F224808:2021-02-20T18:50:55Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F160675:2021-02-19T18:51:30Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F160675:2021-02-19T18:51:30Z,20:47:00,20:47:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F192057:2021-02-21T18:50:52Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F192057:2021-02-21T18:50:52Z,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F212734:2021-02-21T18:50:52Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F212734:2021-02-21T18:50:52Z,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F223862:2021-02-19T18:51:30Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F223862:2021-02-19T18:51:30Z,20:47:00,20:47:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2061F220475:2021-02-21T18:50:52Z,17:23:00,17:23:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F220475:2021-02-21T18:50:52Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F225400:2021-02-21T18:50:52Z,16:58:00,16:58:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F225400:2021-02-21T18:50:52Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2062F209451:2021-02-21T18:50:52Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2062F209451:2021-02-21T18:50:52Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2062F209451:2021-02-21T18:50:52Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2062F226245:2021-02-21T18:50:52Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2062F226245:2021-02-21T18:50:52Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2062F226245:2021-02-21T18:50:52Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2077F225126:2021-02-21T18:50:52Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2077F225126:2021-02-21T18:50:52Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2088F193191:2021-02-19T18:51:30Z,10:22:00,10:22:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F193191:2021-02-19T18:51:30Z,12:15:00,12:15:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2088F201293:2021-02-21T18:50:52Z,10:19:00,10:19:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F201293:2021-02-21T18:50:52Z,12:24:00,12:24:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2088F202406:2021-02-21T18:50:52Z,10:19:00,10:19:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F202406:2021-02-21T18:50:52Z,12:15:00,12:15:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2088F214832:2021-02-21T18:50:52Z,10:19:00,10:19:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F214832:2021-02-21T18:50:52Z,12:15:00,12:15:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2091F107017:2021-02-21T18:50:52Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2091F107017:2021-02-21T18:50:52Z,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2091F225665:2021-02-21T18:50:52Z,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2091F225665:2021-02-21T18:50:52Z,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2223F207626:2021-02-21T18:50:52Z,20:40:00,20:40:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2223F207626:2021-02-21T18:50:52Z,22:08:00,22:08:00,StopPoint:OCETGV INOUI-87192039,1,,1,0,
OCESN2234F206374:2021-02-21T18:50:52Z,18:11:00,18:11:00,StopPoint:OCETGV INOUI-87141002,0,,0,1,
